student_id,school_name,school_tier,outcome,award,grad_year,committed
S01,Montana State University,,Accepted,9000,2026,False
S01,San Diego State University,,Accepted,,2026,False
S01,Utah State University,,Accepted,,2026,False
S01,Loyola Marymount University,,Accepted,,2026,False
S01,Arizona State University,,Accepted,,2026,False
S01,Colorado State University,,Accepted,WUE,2026,False
S01,Grand Canyon University,,Accepted,,2026,False
S01,Gonzaga University,,Waitlist,,2026,False
S01,Marquette University,,Waitlist,,2026,False
S01,University of Arizona,,Rejected,,2026,False
S01,University of Colorado- Boulder,,Rejected,,2026,False
S02,Virginia Military Institute,,Accepted,,2026,False
S02,Colorado School of Mines,,Accepted,,2026,False
S03,Creighton University,,Accepted,30000,2026,False
S03,University of Oklahoma ,,Accepted,,2026,False
S03,Michigan State University,,Accepted,,2026,False
S03,Texas Christian University,,Accepted,32000,2026,False
S03,University of Arizona,,Accepted,,2026,False
S03,Carroll University,,Accepted,,2026,False
S03,University of Kansas,,Accepted,,2026,False
S03,University of Idaho,,Accepted,,2026,False
S03,University of Tennessee,,Rejected,,2026,False
S03,University of Florida,,Rejected,,2026,False
S03,University of North Carolina,,Rejected,,2026,False
S03,University of Texas- Austin,,Rejected,,2026,False
S03,University of Notre Dame,,Rejected,,2026,False
S04,University of Oklahoma ,,Accepted,,2026,False
S04,Auburn University,,Accepted,,2026,False
S04,Ohio State University,,Accepted,,2026,False
S04,University of Utah,,Accepted,,2026,False
S04,University of Colorado- Boulder,,Accepted,,2026,False
S04,California Polytechnic State University,,Accepted,,2026,False
S04,Purdue University,,Accepted,,2026,False
S05,Chapman University,,Accepted,32000,2026,False
S05,University of Oregon,,Accepted,12000,2026,False
S05,California Polytechnic State University- Pomona,,Accepted,,2026,False
S05,University of California- Irvine,,Accepted,,2026,False
S05,University of Washington,,Waitlist,,2026,False
S05,California Polytechnic State University,,Waitlist,,2026,False
S05,San Diego State University,,Waitlist,,2026,False
S05,University of California Los Angeles,,Rejected,,2026,False
S05,University of California San Diego,,Rejected,,2026,False
S06,Auburn University,,Accepted,,2026,False
S06,Texas Christian University,,Accepted,,2026,False
S06,University of Washington,,Accepted,,2026,False
S06,University of Colorado- Boulder,,Accepted,,2026,False
S06,University of Notre Dame ,,Deferred,,2026,False
S06,University of Southern California,,Rejected,,2026,False
S06,University of Texas- Austin,,Waitlist,,2026,False
S06,University of Notre Dame,,Waitlist,,2026,False
S07,Washington State University,,Accepted,,2026,False
S07,University of Idaho,,Accepted,,2026,False
S08,Boise State University,,Accepted,15000,2026,False
S08,Washington State University,,Accepted,,2026,False
S08,Arizona State University,,Accepted,13500,2026,False
S08,San Diego State University,,Accepted,,2026,False
S08,University of Arizona,,Accepted,12000,2026,False
S10,University of Kentucky,,Accepted,,2026,False
S10,Indiana University,,Accepted,,2026,False
S10,Auburn University,,Deferred,,2026,False
S10,University of Tennessee,,Deferred,,2026,False
S10,University of Georgia,,Deferred,,2026,False
S10,Clemson University,,Deferred,,2026,False
S12,Florida Atlantic University,,Accepted,,2026,False
S12,Ball State University,,Accepted,,2026,False
S12,Miami University of Ohio,,Accepted,,2026,False
S12,University of Kentucky,,Accepted,,2026,False
S12,University of Cincinnati,,Accepted,,2026,False
S12,University of Indiana,,Accepted,,2026,False
S12,University of Tennessee,,Deferred,,2026,False
S12,University of South Carolina,,Deferred,,2026,False
S12,Texas Christian University,,Deferred,,2026,False
S12,Auburn University,,Rejected,,2026,False
S13,Montana State University,,Accepted,,2026,False
S13,Seton Hall University,,Accepted,27000,2026,False
S13,Hofstra University,,Accepted,40000,2026,False
S13,Sarah Lawrence University,,Accepted,40000,2026,False
S13,Purdue University,,Accepted,,2026,False
S13,University of Colorado- Boulder,,Accepted,,2026,False
S13,University of Utah,,Accepted,,2026,False
S13,Rochester Institute of Technology,,Accepted,,2026,False
S14,Pacific Lutheran University,,Accepted,29500,2026,False
S15,University of Alabama,,Accepted,,2026,False
S15,Indiana University,,Accepted,,2026,False
S15,University of Arizona,,Accepted,,2026,False
S15,Texas Christian University,,Deferred,,2026,False
S15,University of Tennessee,,Rejected,,2026,False
S15,Clemson University,,Rejected,,2026,False
S16,Old Dominion University,,Accepted,,2026,False
S16,University of Maine,,Accepted,20000,2026,False
S16,Roger Williams University,,Accepted,23500,2026,False
S16,University of Maryland- Baltimore County,,Accepted,3000,2026,False
S16,University of Vermont,,Accepted,20000,2026,False
S16,Drexel University,,Accepted,,2026,False
S16,West Virginia University,,Accepted,,2026,False
S16,Rochester Institute of Technology,,Accepted,23000,2026,False
S17,University of Montana,,Accepted,WUE,2026,False
S17,University of Utah,,Accepted,,2026,False
S17,Western Washington University,,Accepted,,2026,False
S18,Central Washington University,,Accepted,,2026,False
S18,University of Idaho,,Accepted,,2026,False
S18,University of Montana,,Accepted,WUE,2026,False
S18,Colorado State University,,Accepted,,2026,False
S18,Montana State University,,Accepted,9000,2026,False
S18,Washington State University,,Accepted,WUE,2026,False
S18,University of Oregon,,Accepted,,2026,False
S18,Hawaii Pacific University,,Accepted,,2026,False
S18,Whitman University,,Accepted,,2026,False
S18,Oregon State University,,Waitlist,,2026,False
S18,University of Washington,,Waitlist,,2026,False
S19,Pepperdine University,,Accepted,,2026,False
S19,San Francisco State University,,Accepted,,2026,False
S19,New York State University,,Waitlist,,2026,False
S19,Fordham University,,Waitlist,,2026,False
S20,Colorado School of Mines,,Accepted,12000,2026,False
S20,Santa Clara University,,Accepted,,2026,False
S20,University of Utah,,Accepted,,2026,False
S20,University of Colorado- Boulder,,Accepted,,2026,False
S20,University of Washington,,Accepted,,2026,False
S20,University of California Davis,,Accepted,,2026,False
S20,California Polytechnic State University,,Accepted,,2026,False
S20,University of California San Diego,,Accepted,,2026,False
S20,University of Michigan,,Waitlist,,2026,False
S20,University of California Irvine,,Waitlist,,2026,False
S20,University of California Los Angeles,,Rejected,,2026,False
S20,University of Notre Dame,,Rejected,,2026,False
S21,Washington State University,,Accepted,,2026,False
S21,University of Oregon,,Accepted,,2026,False
S21,Rose-Hulman Institute of Technology,,Accepted,,2026,False
S21,Auburn University,,Accepted,,2026,False
S21,Texas Tech University,,Accepted,,2026,False
S21,University of Washington,,Accepted,,2026,False
S21,University of California Davis,,Accepted,,2026,False
S21,California Polytechnic State University,,Accepted,,2026,False
S21,Virginia Tech University,,Waitlist,,2026,False
S21,Georgia Tech University,,Rejected,,2026,False
S21,Rice University,,Rejected,,2026,False
S21,University of Texas- Austin,,Rejected,,2026,False
S22,Boise State University,,Accepted,,2026,False
S22,Montana State University,,Accepted,,2026,False
S22,University of Idaho,,Accepted,,2026,False
S22,University of Colorado- Boulder,,Waitlist,,2026,False
S23,Fordham University,,Accepted,,2026,False
S23,Pennsylvania State University,,Accepted,,2026,False
S24,Boise State University,,Accepted,,2026,False
S24,Washington State University,,Accepted,,2026,False
S24,Arizona State University,,Accepted,,2026,False
S24,Colorado State University,,Accepted,WUE,2026,False
S24,Montana State University,,Accepted,,2026,False
S24,University of Idaho,,Accepted,,2026,False
S24,San Diego State University,,Accepted,,2026,False
S24,University of San Diego,,Rejected,,2026,False
S24,Loyola Marymount University,,Rejected,,2026,False
S24,University of Arizona,,Rejected,,2026,False
S25,University of Mississippi,,Accepted,10000,2026,False
S25,University of North Florida,,Accepted,18600,2026,False
S25,University of South Florida,,Accepted,16500,2026,False
S25,Florida Gulf Coast University,,Accepted,22000,2026,False
S25,Texas Christian University,,Accepted,27000,2026,False
S25,University of Arizona,,Accepted,18000,2026,False
S25,University of Tennessee,,Accepted,,2026,False
S25,Auburn University,,Accepted,,2026,False
S25,Clemson University,,Waitlist,,2026,False
S25,University of Florida,,Rejected,,2026,False
S25,University of North Carolina,,Rejected,,2026,False
S25,Florida State University ,,Rejected,,2026,False
S25,University of Texas- Austin,,Rejected,,2026,False
S26,Oregon State University,,Accepted,,2026,False
S26,Western Washington University,,Accepted,,2026,False
